hr,cnt
0,64.63013698630137
1,40.12637362637363
2,26.696969696969695
3,13.332394366197184
4,7.252777777777778
5,25.01098901098901
6,94.31593406593407
7,267.1456043956044
8,454.7637362637363
9,274.5934065934066
10,216.33516483516485
11,260.22527472527474
12,316.5274725274725
13,316.6575342465753
14,299.09589041095893
15,313.8602739726027
16,389.386301369863
17,573.227397260274
18,528.1835616438356
19,386.26575342465753
20,278.7178082191781
21,209.78082191780823
22,158.72602739726028
23,106.36986301369863
